season,teamId,abbr,cityState,fullName,nick,conferenceAbbr,divisionAbbr
2005,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2005,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2005,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2005,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2005,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2005,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2005,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2005,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2005,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2005,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2006,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2006,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2006,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2006,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2006,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2006,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2006,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2006,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2006,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2006,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2006,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2006,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
2006,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2006,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2006,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2006,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2006,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2006,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2006,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2006,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCN
2006,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2006,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCS
2006,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2006,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2006,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2006,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2006,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2006,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2014,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCS
2014,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2014,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2014,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2014,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2014,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2014,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2014,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2014,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2014,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2014,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2015,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2015,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2015,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2015,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2015,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2015,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2015,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2015,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2015,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2015,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2015,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2015,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
2015,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2015,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2015,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2015,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2015,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2015,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2015,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2015,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCN
2015,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2015,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCS
2015,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2015,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2015,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2015,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2015,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2015,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2015,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2015,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2015,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2015,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2016,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2016,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2016,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
